Academic Year,Level of Study,Broad Academic Programme Category,Average Annual Salary (HK$'000)
2018/2019,Undergraduate,Education,328
2018/2019,Taught Postgraduate,"Medicine, Dentistry and Health",446
2018/2019,Taught Postgraduate,Sciences,382
2018/2019,Taught Postgraduate,Engineering and Technology,373
2018/2019,Taught Postgraduate,Social Sciences,488
2018/2019,Taught Postgraduate,Arts and Humanities,379
2018/2019,Taught Postgraduate,Education,376
2018/2019,Research Postgraduate,"Medicine, Dentistry and Health",339
2018/2019,Research Postgraduate,Sciences,338
2018/2019,Research Postgraduate,Engineering and Technology,358
2018/2019,Research Postgraduate,Business and Management,524
2018/2019,Research Postgraduate,Social Sciences,343
2018/2019,Research Postgraduate,Arts and Humanities,360
2018/2019,Research Postgraduate,Education,360
2019/2020,Sub-degree,Sciences,164
2019/2020,Sub-degree,Engineering and Technology,186
2019/2020,Sub-degree,Social Sciences,196
2019/2020,Sub-degree,Arts and Humanities,196
2019/2020,Sub-degree,Education,196
2019/2020,Undergraduate,"Medicine, Dentistry and Health",482
2019/2020,Undergraduate,Sciences,237
2019/2020,Undergraduate,Engineering and Technology,233
2019/2020,Undergraduate,Business and Management,234
2019/2020,Undergraduate,Social Sciences,228
2019/2020,Undergraduate,Arts and Humanities,220
2019/2020,Undergraduate,Education,334
2019/2020,Taught Postgraduate,"Medicine, Dentistry and Health",530
2019/2020,Taught Postgraduate,Sciences,384
2019/2020,Taught Postgraduate,Engineering and Technology,344
2019/2020,Taught Postgraduate,Social Sciences,462
2019/2020,Taught Postgraduate,Arts and Humanities,384
2019/2020,Taught Postgraduate,Education,396
2019/2020,Research Postgraduate,"Medicine, Dentistry and Health",345
2019/2020,Research Postgraduate,Sciences,380
2019/2020,Research Postgraduate,Engineering and Technology,377
2019/2020,Research Postgraduate,Business and Management,435
2019/2020,Research Postgraduate,Social Sciences,373
2019/2020,Research Postgraduate,Arts and Humanities,317
2019/2020,Research Postgraduate,Education,371
2020/2021,Sub-degree,Sciences,182
2020/2021,Sub-degree,Engineering and Technology,229
2020/2021,Sub-degree,Social Sciences,211
2020/2021,Sub-degree,Arts and Humanities,211
2020/2021,Sub-degree,Education,211
2020/2021,Undergraduate,"Medicine, Dentistry and Health",487
2020/2021,Undergraduate,Sciences,257
2020/2021,Undergraduate,Engineering and Technology,245
2020/2021,Undergraduate,Business and Management,256
2020/2021,Undergraduate,Social Sciences,246
2020/2021,Undergraduate,Arts and Humanities,234
2020/2021,Undergraduate,Education,333
2020/2021,Taught Postgraduate,"Medicine, Dentistry and Health",577
2020/2021,Taught Postgraduate,Sciences,399
2020/2021,Taught Postgraduate,Engineering and Technology,369
2020/2021,Taught Postgraduate,Social Sciences,483
2020/2021,Taught Postgraduate,Arts and Humanities,402
2020/2021,Taught Postgraduate,Education,403
2020/2021,Research Postgraduate,"Medicine, Dentistry and Health",352
2020/2021,Research Postgraduate,Sciences,385
2020/2021,Research Postgraduate,Engineering and Technology,415
2020/2021,Research Postgraduate,Business and Management,479
2020/2021,Research Postgraduate,Social Sciences,333
2020/2021,Research Postgraduate,Arts and Humanities,384
2020/2021,Research Postgraduate,Education,395
2021/2022,Sub-degree,Sciences,175
2021/2022,Sub-degree,Engineering and Technology,220
2021/2022,Sub-degree,Social Sciences,226
2021/2022,Sub-degree,Arts and Humanities,226
2021/2022,Sub-degree,Education,226
2021/2022,Undergraduate,"Medicine, Dentistry and Health",497
2021/2022,Undergraduate,Sciences,286
2021/2022,Undergraduate,Engineering and Technology,265
2021/2022,Undergraduate,Business and Management,288
2021/2022,Undergraduate,Social Sciences,264
2021/2022,Undergraduate,Arts and Humanities,252
2021/2022,Undergraduate,Education,353
2021/2022,Taught Postgraduate,"Medicine, Dentistry and Health",569
2021/2022,Taught Postgraduate,Sciences,432
2021/2022,Taught Postgraduate,Engineering and Technology,378
2021/2022,Taught Postgraduate,Social Sciences,456
2021/2022,Taught Postgraduate,Arts and Humanities,432
2021/2022,Taught Postgraduate,Education,414
2021/2022,Research Postgraduate,"Medicine, Dentistry and Health",392
2021/2022,Research Postgraduate,Sciences,392
2021/2022,Research Postgraduate,Engineering and Technology,369
2021/2022,Research Postgraduate,Business and Management,473
2021/2022,Research Postgraduate,Social Sciences,376
2021/2022,Research Postgraduate,Arts and Humanities,369
2021/2022,Research Postgraduate,Education,417
2022/2023,Sub-degree,Sciences,183
2022/2023,Sub-degree,Engineering and Technology,222
2022/2023,Sub-degree,Social Sciences,235
2022/2023,Sub-degree,Arts and Humanities,235
2022/2023,Sub-degree,Education,235
2022/2023,Undergraduate,"Medicine, Dentistry and Health",506
2022/2023,Undergraduate,Sciences,290
2022/2023,Undergraduate,Engineering and Technology,283
2022/2023,Undergraduate,Business and Management,295
2022/2023,Undergraduate,Social Sciences,275
2022/2023,Undergraduate,Arts and Humanities,269
2022/2023,Undergraduate,Education,375
2022/2023,Taught Postgraduate,"Medicine, Dentistry and Health",714
2022/2023,Taught Postgraduate,Sciences,448
2022/2023,Taught Postgraduate,Engineering and Technology,401
2022/2023,Taught Postgraduate,Social Sciences,488
2022/2023,Taught Postgraduate,Arts and Humanities,448
2022/2023,Taught Postgraduate,Education,429
2022/2023,Research Postgraduate,"Medicine, Dentistry and Health",411
2022/2023,Research Postgraduate,Sciences,427
2022/2023,Research Postgraduate,Engineering and Technology,421
2022/2023,Research Postgraduate,Business and Management,512
2022/2023,Research Postgraduate,Social Sciences,391
2022/2023,Research Postgraduate,Arts and Humanities,346
2022/2023,Research Postgraduate,Education,410
